time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/n_updates,train/loss
1145,6848,100.0,7845200,0.05,0.52,78452,0.0001,1948799,0.0010851757833734155
1145,6849,100.0,7845600,0.05,0.51,78456,0.0001,1948899,0.00028240555548109114
1145,6849,100.0,7846000,0.05,0.5,78460,0.0001,1948999,3.992296478827484e-05
1145,6849,100.0,7846400,0.05,0.48,78464,0.0001,1949099,5.8887369959848e-05
1145,6850,100.0,7846800,0.05,0.49,78468,0.0001,1949199,3.4104603400919586e-05
1145,6850,100.0,7847200,0.05,0.48,78472,0.0001,1949299,0.002202804898843169
1145,6850,100.0,7847600,0.05,0.51,78476,0.0001,1949399,0.001241060788743198
1145,6851,100.0,7848000,0.05,0.51,78480,0.0001,1949499,0.0013530191499739885
1145,6851,100.0,7848400,0.05,0.52,78484,0.0001,1949599,0.00010915363964159042
1145,6852,100.0,7848800,0.05,0.5,78488,0.0001,1949699,0.0004079465288668871
1145,6852,100.0,7849200,0.05,0.5,78492,0.0001,1949799,7.008200918789953e-05
1145,6852,100.0,7849600,0.05,0.48,78496,0.0001,1949899,0.0011768118711188436
1145,6853,100.0,7850000,0.05,0.46,78500,0.0001,1949999,9.577380114933476e-05
1145,6853,100.0,7850400,0.05,0.47,78504,0.0001,1950099,3.0746748961973935e-05
1145,6853,100.0,7850800,0.05,0.46,78508,0.0001,1950199,0.00015434784290846437
1145,6854,100.0,7851200,0.05,0.47,78512,0.0001,1950299,0.00032127738813869655
1145,6854,100.0,7851600,0.05,0.48,78516,0.0001,1950399,0.0016981707885861397
1145,6855,100.0,7852000,0.05,0.48,78520,0.0001,1950499,1.4404490684682969e-05
1145,6855,100.0,7852400,0.05,0.46,78524,0.0001,1950599,8.432913455180824e-05
1145,6855,100.0,7852800,0.05,0.45,78528,0.0001,1950699,0.0001501533988630399
1145,6856,100.0,7853200,0.05,0.43,78532,0.0001,1950799,0.001284905127249658
1145,6856,100.0,7853600,0.05,0.44,78536,0.0001,1950899,0.0009303878759965301
1145,6856,100.0,7854000,0.05,0.45,78540,0.0001,1950999,0.001692098448984325
1145,6857,100.0,7854400,0.05,0.46,78544,0.0001,1951099,0.0005757184699177742
1145,6857,100.0,7854800,0.05,0.45,78548,0.0001,1951199,0.0002130451175617054
1145,6857,100.0,7855200,0.05,0.43,78552,0.0001,1951299,4.702623118646443e-05
1145,6858,100.0,7855600,0.05,0.45,78556,0.0001,1951399,0.0002903170825447887
1145,6858,100.0,7856000,0.05,0.44,78560,0.0001,1951499,0.0007015812443569303
1145,6859,100.0,7856400,0.05,0.45,78564,0.0001,1951599,0.0031793001107871532
1145,6859,100.0,7856800,0.05,0.44,78568,0.0001,1951699,0.00040588551200926304
1145,6859,100.0,7857200,0.05,0.44,78572,0.0001,1951799,3.088582161581144e-05
1145,6860,100.0,7857600,0.05,0.44,78576,0.0001,1951899,0.000734390108846128
1145,6860,100.0,7858000,0.05,0.42,78580,0.0001,1951999,0.002760547213256359
1145,6860,100.0,7858400,0.05,0.41,78584,0.0001,1952099,1.4232791727408767e-05
1145,6861,100.0,7858800,0.05,0.4,78588,0.0001,1952199,5.251589755062014e-05
1145,6861,100.0,7859200,0.05,0.39,78592,0.0001,1952299,0.000983057077974081
1145,6861,100.0,7859600,0.05,0.4,78596,0.0001,1952399,0.0010985571425408125
1145,6862,100.0,7860000,0.05,0.44,78600,0.0001,1952499,0.0005202326574362814
1145,6862,100.0,7860400,0.05,0.43,78604,0.0001,1952599,2.4369390303036198e-05
1145,6863,100.0,7860800,0.05,0.43,78608,0.0001,1952699,0.002329776529222727
1145,6863,100.0,7861200,0.05,0.42,78612,0.0001,1952799,0.00011276755685685202
1145,6863,100.0,7861600,0.05,0.41,78616,0.0001,1952899,2.1727057173848152e-05
1145,6864,100.0,7862000,0.05,0.41,78620,0.0001,1952999,0.0012703745160251856
1145,6864,100.0,7862400,0.05,0.41,78624,0.0001,1953099,5.4287429520627484e-05
1145,6864,100.0,7862800,0.05,0.43,78628,0.0001,1953199,0.001261355821043253
1145,6865,100.0,7863200,0.05,0.44,78632,0.0001,1953299,0.0001665296294959262
1145,6865,100.0,7863600,0.05,0.44,78636,0.0001,1953399,3.045867197215557e-05
1145,6865,100.0,7864000,0.05,0.43,78640,0.0001,1953499,0.0010976705234497786
1145,6866,100.0,7864400,0.05,0.43,78644,0.0001,1953599,0.0002955358359031379
1145,6866,100.0,7864800,0.05,0.43,78648,0.0001,1953699,0.0014498756499961019
1145,6867,100.0,7865200,0.05,0.43,78652,0.0001,1953799,0.00014836605987511575
1145,6867,100.0,7865600,0.05,0.4,78656,0.0001,1953899,1.6945612514973618e-05
1145,6867,100.0,7866000,0.05,0.4,78660,0.0001,1953999,2.2983587768976577e-05
